"","name","height","weight","season","age","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp","w","l","min","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year"
"2327","Jeff_Teague",75,195,"2017",28,"IND","NBA","PG",82,2657,19.2,0.574,0.277,0.457,1.4,12.4,7,36.4,1.9,1.1,16.5,22.1,5.7,2.4,8.1,0.146,2.3,-0.1,2.2,2.8,761,"IND",81,42,39,32.5,11134.9,2.11,1.12,0.99,3.9,4.2,3.6,120,8800000,0,1
"2328","Jeff_Teague",75,195,"2018",29,"MIN","NBA","PG",70,2311,16.4,0.553,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,3.4,1.4,4.9,0.101,1.1,-0.7,0.4,1.4,762,"MIN",70,41,29,33,11194.9,2.12,1.14,0.98,3.86,4.03,3.68,46,1.9e+07,1.9e+07,0
"2329","Jeff_Teague",75,195,"2019",30,"MIN","NBA","PG",42,1264,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0.8,-1.2,-0.4,0.5,763,"MIN",42,23,19,30.1,10413.5,1.97,1.07,0.9,3.67,3.95,3.39,51,1.9e+07,1.9e+07,0
"2330","Jeff_Teague",75,195,"2020",31,"TOT","NBA","PG",59,1464,14.6,0.557,0.239,0.403,1.9,8.6,5.2,30.7,1.4,1.1,16.8,19.5,1.9,0.6,2.5,0.082,-0.2,-1.3,-1.5,0.2,764,"ATL",59,22,37,24.8,8704.8,1.65,0.9,0.74,3.71,4.09,3.33,58,1.9e+07,0,1
"2340","Garrett_Temple",77,195,"2017",30,"SAC","NBA","SG",65,1728,11.2,0.545,0.509,0.171,2.2,10.1,6.2,14.4,2.5,1.5,14.4,14.2,0.9,1.3,2.2,0.061,-1.5,0.8,-0.8,0.5,551,"SAC",65,25,40,26.6,9986.3,1.89,1.01,0.88,4.27,4.52,4.02,129,8e+06,8e+06,0
"2341","Garrett_Temple",77,195,"2018",31,"SAC","NBA","SG",65,1615,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-2.2,-0.3,-2.5,-0.2,552,"SAC",65,23,42,24.9,9442.8,1.79,0.97,0.81,4.35,4.61,4.09,139,8e+06,8e+06,0
"2342","Garrett_Temple",77,195,"2019",32,"TOT","NBA","SG",75,2040,8.5,0.543,0.535,0.217,1.5,10.2,5.8,7.4,1.8,1.4,11.5,13.2,0.3,2,2.2,0.052,-3.3,0.5,-2.8,-0.4,553,"LAC",75,37,38,27.2,10942.1,2.07,1.12,0.96,4.27,4.47,4.06,159,8e+06,0,1
"2343","Garrett_Temple",77,195,"2020",33,"BRK","NBA","SG",55,1547,10.3,0.507,0.66,0.139,1.9,10.5,6.3,13.1,1.3,1.4,9.3,16.6,0.5,1.6,2.1,0.065,-1.5,0.4,-1.1,0.4,554,"BKN",55,26,29,28.1,10824.7,2.05,1.1,0.95,4.19,4.51,3.87,212,4767000,5005350,0
"2344","Milos_Teodosic",77,196,"2018",30,"LAC","NBA","PG",45,1134,11.6,0.564,0.644,0.128,1.6,10.5,6.1,26.2,1,0.4,20.3,18.2,0.9,0.5,1.4,0.058,-0.3,-1.5,-1.7,0.1,1206,"LAC",45,29,16,25.2,9560.2,1.81,0.97,0.84,4.32,4.75,3.91,177,6e+06,6300000,0
"2345","Milos_Teodosic",77,196,"2019",31,"LAC","NBA","PG",15,150,6.5,0.557,0.675,0.175,2.2,8.9,5.7,28.8,0.9,0.5,32.8,18,-0.1,0.1,-0.1,-0.019,-3.8,-1.7,-5.4,-0.1,1207,"LAC",15,8,7,10,4181.7,0.79,0.44,0.35,4.4,5,3.83,185,6300000,0,1
