"","x","name","season","team.x","gp.x","w.x","l.x","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","gp.y","w.y","l.y","min.y","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"36",14,"AlFarouq_Aminu","2017","POR",61,33,28,29.1,10738,2.03,1.11,0.93,4.21,4.53,3.88,137,7680965,7319035,0,"POR",69,40,29,30,9.3,36,19.2,1.2,1.97,1,0.259,0.9,0.2,2.1,0.234,0.154,0.635
"37",15,"AlFarouq_Aminu","2018","POR",69,40,29,30,11168.4,2.12,1.14,0.98,4.22,4.46,3.98,150,7319035,6957105,0,"POR",81,52,29,28.3,9.4,36,16.9,1.1,1.91,0.92,0.261,1.1,0.3,2.4,0.398,0.286,0.822
"38",16,"AlFarouq_Aminu","2019","POR",81,52,29,28.3,11306.2,2.14,1.18,0.96,4.25,4.55,3.93,179,6957105,0,1,"ORL",18,7,11,21.1,4.3,36.3,16.3,1.2,1.91,0.88,0.119,0.7,1,1.9,0.833,0.111,0.559
"40",40,"Alfonzo_McKinnie","2018","TOR",14,13,1,3.8,1568.4,0.3,0.15,0.15,4.73,4.87,4.6,459,815615,1378242,0,"GSW",72,53,19,13.9,4.7,17.9,10.4,0.5,1.62,0.64,0.261,0.3,0.1,1.8,0.955,0.5,0.921
"41",41,"Alfonzo_McKinnie","2019","GSW",72,53,19,13.9,6061.9,1.15,0.61,0.54,4.68,5.1,4.28,446,1349383,0,1,"CLE",40,11,29,14.8,4.6,17.2,9.3,0.5,1.77,0.91,0.265,0.3,0.1,1.5,0.9,0,0.897
"42",42,"Alfonzo_McKinnie","2019","GSW",72,53,19,13.9,6061.9,1.15,0.61,0.54,4.68,5.1,4.28,383,1349383,0,1,"CLE",40,11,29,14.8,4.6,17.2,9.3,0.5,1.77,0.91,0.265,0.3,0.1,1.5,0.9,0,0.897
"46",46,"Alize_Johnson","2019","IND",14,9,5,4.6,2010.3,0.38,0.2,0.18,4.41,4.57,4.26,467,838464,1416852,0,"IND",13,8,5,4.1,1.4,5,2.5,0.2,2.08,0.88,0.277,0.2,0.1,0.6,0.667,0,1.125
"48",48,"Allen_Crabbe","2017","POR",79,39,40,28.5,10897,2.06,1.14,0.92,4.35,4.76,3.94,31,18500000,18500000,0,"BKN",73,24,49,29.2,13.2,43.2,32.3,1.2,1.67,0.79,0.305,0.5,0,0.7,0.794,0,0.588
"49",49,"Allen_Crabbe","2018","BKN",73,24,49,29.2,11028.5,2.09,1.13,0.96,4.3,4.57,4.02,44,19332500,18500000,0,"BKN",43,19,24,26.4,9.6,31.8,25.6,0.7,1.41,0.55,0.302,0.4,0,0.6,0.588,0,0.385
"50",50,"Allen_Crabbe","2019","BKN",43,19,24,26.4,10576,2,1.1,0.9,4.24,4.6,3.88,57,18500000,18500000,0,"MIN",37,5,32,17.6,4.6,19.1,13.5,0.5,1.43,0.57,0.244,0.2,0,0.4,0.875,0,0.846
"55",55,"Amir_Johnson","2017","BOS",80,51,29,20.1,7090.8,1.34,0.69,0.66,4.02,4.2,3.84,88,1.2e+07,0,1,"PHI",74,47,27,15.8,4.6,26.9,18.8,0.6,1.38,0.46,0.172,4,0.5,4.4,0.158,0.231,0.666
"56",56,"Amir_Johnson","2018","PHI",74,47,27,15.8,5818.1,1.1,0.56,0.54,4.19,4.42,3.98,108,1.1e+07,0,1,"PHI",51,32,19,10.4,3.9,20.7,12.5,0.5,1.34,0.41,0.19,2,0.3,2.4,0.245,0.538,0.887
"60",60,"Andre_Drummond","2017","DET",81,36,45,29.8,10624.3,2.01,1.02,0.99,4.07,4.15,3.99,19,22116750,23775506,0,"DET",78,37,41,33.7,15,52.3,39.1,1.8,2.07,0.82,0.287,5.4,3.4,11.7,0.278,0.479,0.942
"61",61,"Andre_Drummond","2018","DET",78,37,41,33.6,11952.5,2.26,1.15,1.12,4.06,4.12,4.01,23,23775506,25434263,0,"DET",79,40,39,33.5,17.3,53.7,29.6,1.7,1.87,0.9,0.323,3.3,3.9,12.8,0.529,0.61,0.945
"62",62,"Andre_Drummond","2019","DET",79,40,39,33.5,12292.3,2.33,1.23,1.1,3.94,3.99,3.88,25,25434263,27093019,0,"CLE",56,21,35,32.9,17.6,63.9,36.5,2.5,2.33,1.32,0.276,5.5,4.7,11.7,0.484,0.69,0.919
"64",64,"Andre_Iguodala","2017","GSW",76,64,12,26.3,9741.5,1.84,0.96,0.89,4.21,4.63,3.84,95,11131368,0,1,"GSW",64,46,18,25.4,6,44.3,23.4,2.3,3.05,2.01,0.135,1.2,1,1.8,0.284,0.266,0.707
"65",65,"Andre_Iguodala","2018","GSW",64,46,18,25.4,9484.8,1.8,0.94,0.86,4.27,4.64,3.92,74,14814815,1.6e+07,0,"GSW",68,47,21,23.2,5.7,38.3,20.4,1.6,2.5,1.5,0.149,0.9,0.3,1.7,0.295,0.1,0.828
"66",66,"Andre_Iguodala","2019","GSW",68,47,21,23.2,8986.4,1.7,0.88,0.82,4.1,4.46,3.77,71,1.6e+07,17185185,0,"MIA",13,7,6,18.2,4.5,27.4,14.8,1.1,2.5,1.39,0.166,1.2,0.3,1.7,0.4,0,0.591
"68",68,"Andre_Roberson","2017","OKC",79,46,33,30.1,11786.1,2.23,1.12,1.11,4.46,4.73,4.22,300,2183072,0,1,"OKC",37,24,13,26.6,4.9,24.5,14.3,0.5,1.28,0.41,0.2,0.9,0,3.9,0.515,0,0.66
"70",70,"Andrew_Bogut","2017","CLE",27,8,19,21.6,7271.3,1.38,0.75,0.62,3.84,3.92,3.75,97,11027027,0,1,"LAL",24,7,17,9,1.5,15.1,8.2,0.4,1.69,0.53,0.099,1.3,0.3,2,0.188,0,0.75
