Name,Height,Weight,Season,Age,Team,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Justin Anderson,78,230,2018-19,25,ATL,NBA,SF,48,463,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.4,-0.3,-2.7,-0.1
Justin Anderson,78,230,2019-20,26,BRK,NBA,SF,3,17,-3.8,0.218,0.5,0.333,0,11.8,6.1,0,0,4.9,0,16.9,-0.1,0,-0.1,-0.167,-12.8,-2.3,-15.1,-0.1
Kyle Anderson,81,230,2014-15,21,SAS,NBA,SF,33,358,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,-0.3,0.6,0.3,0.044,-3.8,2.3,-1.4,0.1
Kyle Anderson,81,230,2015-16,22,SAS,NBA,SF,78,1245,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,0.7,2.8,3.5,0.133,-1.7,3.1,1.4,1.1
Kyle Anderson,81,230,2016-17,23,SAS,NBA,SF,72,1020,12.5,0.525,0.191,0.273,3.7,19,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2,2.7,0.127,-1.4,3.2,1.8,1
Kyle Anderson,81,230,2017-18,24,SAS,NBA,SF,74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4
Kyle Anderson,81,230,2018-19,25,MEM,NBA,SF,43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11,15,2.1,2.7,16,12.6,0.8,1.8,2.7,0.1,-1.6,2.4,0.8,0.9
Kyle Anderson,81,230,2019-20,26,MEM,NBA,PF,59,1140,13,0.542,0.221,0.236,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7
Ryan Anderson,81,240,2008-09,20,NJN,NBA,PF,66,1312,13.6,0.532,0.464,0.285,9.3,19,14.1,6.4,1.8,1.2,12.1,18.6,1.3,1.2,2.5,0.09,-0.3,-0.9,-1.1,0.3
Ryan Anderson,81,240,2009-10,21,ORL,NBA,PF,63,911,18.1,0.574,0.544,0.211,9.2,16.2,12.8,7.1,1.4,1.1,11.7,24.4,1.7,1.4,3.1,0.161,2.6,-0.3,2.3,1
Ryan Anderson,81,240,2010-11,22,ORL,NBA,PF,64,1424,19,0.591,0.65,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,4,2.5,6.4,0.216,4.2,0.4,4.6,2.4
Ryan Anderson,81,240,2011-12,23,ORL,NBA,PF,61,1964,21.2,0.589,0.557,0.226,13,14.7,13.8,5.1,1.4,1,6.4,21.2,7,1.9,8.9,0.219,5.2,-1.1,4,3
Ryan Anderson,81,240,2012-13,24,NOH,NBA,PF,81,2503,18.1,0.548,0.5,0.161,8.9,15.9,12.4,6.9,0.9,1,7.5,24,5.7,0.8,6.5,0.125,4.1,-2.1,2,2.5
Ryan Anderson,81,240,2013-14,25,NOP,NBA,PF,22,795,18.8,0.572,0.463,0.175,9.5,11.3,10.4,3.6,0.7,0.7,5,22.9,2.2,0.1,2.3,0.138,4.5,-3.2,1.4,0.6
Ryan Anderson,81,240,2014-15,26,NOP,NBA,PF,61,1675,15.6,0.524,0.492,0.207,7.3,12.7,10,5.4,1,0.9,7.2,23.4,2.6,0.9,3.5,0.1,1.8,-2.1,-0.3,0.7
Ryan Anderson,81,240,2015-16,27,NOP,NBA,PF,66,2008,17.2,0.546,0.385,0.245,7,15.2,10.9,6.1,0.9,1,8,24.7,3.1,0.8,3.9,0.092,2.2,-2.4,-0.2,0.9
Ryan Anderson,81,240,2016-17,28,HOU,NBA,PF,72,2116,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4,1.1,5.2,0.117,1.7,-2,-0.4,0.9
Ryan Anderson,81,240,2017-18,29,HOU,NBA,PF,66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9
Ryan Anderson,81,240,2018-19,30,TOT,NBA,PF,25,322,4.6,0.414,0.58,0.232,6.1,12.5,9.2,7.8,0.6,0.3,15.5,12,-0.3,0,-0.2,-0.035,-4.5,-1.9,-6.4,-0.4
Ryan Anderson,81,240,2019-20,31,HOU,NBA,PF,2,14,9.5,0.357,0.714,0,0,52.8,26.2,20.1,3.3,0,12.5,23.6,0,0,0,-0.031,-4.1,0.7,-3.4,0
Ike Anigbogu,82,250,2017-18,19,IND,NBA,C,11,30,21.6,0.558,0,0.667,19,15,16.9,0,1.7,8.9,14.7,20.3,0.1,0,0.1,0.165,1.8,0.1,1.9,0
Ike Anigbogu,82,250,2018-19,20,IND,NBA,C,3,6,-6,0,0,0,18.9,36.2,27.7,19.4,0,14.8,25,29.1,-0.1,0,-0.1,-0.48,-14,-2.3,-16.2,0
Giannis Antetokounmpo,NA,NA,2013-14,19,MIL,NBA,SF,77,1897,10.8,0.518,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15,0.1,1.1,1.2,0.031,-2.4,-0.1,-2.5,-0.2
Giannis Antetokounmpo,NA,NA,2014-15,20,MIL,NBA,SG,81,2541,14.8,0.552,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,2.2,4,6.2,0.117,-1.2,1.2,0,1.2
Giannis Antetokounmpo,NA,NA,2015-16,21,MIL,NBA,PG,80,2823,18.8,0.566,0.108,0.404,4.6,20,12.4,20,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1.3,0.7,2.1,2.9
Giannis Antetokounmpo,NA,NA,2016-17,22,MIL,NBA,SF,80,2845,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7
Giannis Antetokounmpo,NA,NA,2017-18,23,MIL,NBA,PF,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7
Giannis Antetokounmpo,NA,NA,2018-19,24,MIL,NBA,PF,72,2358,30.9,0.644,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,6.3,4.1,10.4,7.4
