Player,Season,TEAM,AGE,GP,MIN,Box Outs,OFF Box Outs,DEF Box Outs,Team Reb on Box Outs,Player Reb on Box Outs,% Box Outs Off,% Box Outs Def,% Team Reb When Box Out,% Player Reb When Box Out
Wayne Ellington,2018,DET,31,53,24.5,0.6,0,0.6,0.4,0.1,0,100,83.3,16.7
Wayne Selden,2018,CHI,24,75,19.2,1.1,0,1.1,0.5,0.1,1.2,98.8,78.3,13
Wendell Carter Jr.,2018,CHI,20,44,25.2,6.8,0.9,5.9,3.1,0.9,13.6,86.4,84.6,25.9
Wes Iwundu,2018,ORL,24,68,18.1,0.3,0,0.3,0.1,0,0,100,90.9,0
Wesley Johnson,2018,WAS,31,38,14.1,0.8,0,0.8,0.3,0.1,0,100,80,13.3
Wesley Matthews,2018,IND,32,69,30.3,1.8,0.1,1.8,1,0.2,3.2,96.8,81.5,13.6
Will Barton,2018,DEN,28,43,27.7,0.6,0,0.6,0.3,0.1,0,100,73.7,26.3
Willie Cauley-Stein,2018,SAC,25,81,27.3,6.1,0.5,5.6,3.5,1.4,8.5,91.3,91,35.9
Willy Hernangomez,2018,CHA,25,58,14,3.3,0.4,2.9,1.9,0.8,12.9,87.1,93.9,41.7
Wilson Chandler,2018,LAC,32,51,23.1,2.1,0.1,2,0.9,0.4,5.6,94.4,96,38
Yante Maten,2018,MIA,22,2,6.5,1,0,1,0,0,0,100,0,0
Yogi Ferrell,2018,SAC,26,71,15,0.5,0,0.5,0.4,0.1,0,100,96.6,17.2
Yuta Watanabe,2018,MEM,24,15,11.6,1.3,0.1,1.2,0.3,0.1,5.3,94.7,66.7,16.7
Zach Collins,2018,POR,21,77,17.6,4.7,0.6,4.1,2.7,0.9,13.5,86.5,90.5,30.3
Zach LaVine,2018,CHI,24,63,34.5,1.2,0.1,1.1,0.8,0.2,7.8,92.2,89.1,18.2
Zach Lofton,2018,DET,26,1,3.8,0,0,0,0,0,0,0,0,0
Zaza Pachulia,2018,DET,35,68,12.9,4.5,0.9,3.6,2.4,0.8,19.2,80.5,84.8,27.7
Zhaire Smith,2018,PHI,20,6,18.4,1.3,0,1.3,0.8,0,0,100,100,0
Zhou Qi,2018,HOU,23,1,1,0,0,0,0,0,0,0,0,0
Zylan Cheatham,2019,NOP,24,3,10.2,0.3,0.3,0,0,0,100,0,0,0
Zion Williamson,2019,NOP,19,19,29.7,1.2,0.1,1.1,0.4,0.4,9.1,90.9,100,87.5
Zhaire Smith,2019,PHI,20,7,4.6,0.1,0,0.1,0,0,0,100,0,0
Zach Norvell Jr.,2019,GSW,22,5,8.2,0,0,0,0,0,0,0,0,0
Zach LaVine,2019,CHI,25,60,34.8,0.9,0.1,0.8,0.5,0.1,7.7,92.3,88.2,26.5
Zach Collins,2019,POR,22,3,28.8,4.7,1.3,3.3,3,1.7,28.6,71.4,100,55.6
Yuta Watanabe,2019,MEM,25,16,6.2,0.6,0,0.6,0.4,0.1,0,100,100,28.6
Yogi Ferrell,2019,SAC,27,44,11,0.3,0,0.3,0.1,0,0,100,100,0
Wilson Chandler,2019,BKN,33,35,21,1.9,0,1.9,1.1,0.4,1.5,98.5,88.6,31.8
Willy Hernangomez,2019,CHA,26,31,12.1,1.4,0.3,1.1,0.9,0.6,21.4,78.6,84.4,53.1
