Player,Season,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
James Harden,2016,HOU,81,54,27,36.4,29.1,96.1,27.3,9.3,5.78,4.96,0.303,0.8,1,1.3,0.485,0.577,0.49
James Ennis III,2016,MEM,64,32,32,23.4,6.7,24.7,16.5,0.8,2.02,1.09,0.271,0.5,0.3,1.6,0.733,0.471,0.738
Jameer Nelson,2016,DEN,74,33,41,27.3,9.1,58.3,22,4.6,4.71,4.65,0.157,0.4,0,0.5,0.5,0,0.579
Jamal Murray,2016,DEN,81,39,42,21.6,9.9,36.9,18.9,2.3,3.78,3.38,0.269,0.5,0,0.9,0.55,0,0.684
Jamal Crawford,2016,LAC,82,51,31,26.3,12.3,41.5,24.3,2.7,3.87,3.64,0.296,0.4,0,0.3,0.414,0.25,0.762
Jakob Poeltl,2016,TOR,53,37,16,11.7,3.1,13.5,6.9,0.3,1.25,0.28,0.231,0.7,0.2,3.2,0.421,0.333,0.767
Jake Layman,2016,POR,35,16,19,7.1,2.2,8.8,6.5,0.3,1.8,0.82,0.252,0.1,0,0.3,1,0,0.364
Jahlil Okafor,2016,PHI,50,15,35,22.7,11.8,41.4,31.3,1.6,2.38,1,0.285,5.9,6.7,5.2,0.418,0.491,0.735
Jae Crowder,2016,BOS,72,48,24,32.4,13.9,49.9,32.5,1.4,1.7,0.81,0.278,0.5,0.6,1.8,0.618,0.581,1.116
Jabari Parker,2016,MIL,51,22,29,33.9,20.1,64.3,36.5,2.3,2.17,1.35,0.313,2.2,2.1,3.4,0.667,0.458,0.926
JaVale McGee,2016,GSW,77,62,15,9.6,6.1,13.5,8.3,0.3,1.29,0.34,0.453,0.9,0.7,4.3,0.329,0.404,1.066
JaMychal Green,2016,MEM,77,40,37,27.3,8.9,42.3,22.4,1.1,1.53,0.43,0.211,1.3,1,3.9,0.551,0.582,0.873
JR Smith,2016,CLE,41,25,16,29,8.6,32.7,21.2,1.2,2.2,1.53,0.262,0.2,0,0.5,0.444,0,0.571
JJ Redick,2016,LAC,78,50,28,28.2,15,36.6,30.8,1,1.72,1.07,0.411,0.7,0.1,0.4,0.556,0,0.452
J.J. Barea,2016,DAL,34,10,24,22.1,11.1,59,22,5.6,5.66,5.64,0.189,0.3,0,0.3,0.4,0,1
Ivica Zubac,2016,LAL,38,8,30,16,7.5,30.5,15.3,0.7,1.43,0.3,0.245,3,1.8,4.9,0.632,0.652,0.898
Ish Smith,2016,DET,81,37,44,24.1,9.4,60.4,16.6,5.5,5.44,5.69,0.155,0.2,0,0.5,0.556,0,0.351
Isaiah Whitehead,2016,BKN,73,17,56,22.5,7.4,39.1,18.2,2.5,3.86,3.61,0.19,0.3,0.1,0.6,0.7,0.5,0.745
Isaiah Thomas,2016,BOS,76,51,25,33.8,28.9,85.1,36,6.9,4.9,4.76,0.34,1,0.1,0.9,0.592,0,0.554
Isaiah Taylor,2016,HOU,4,3,1,13,0.8,14.5,6.5,0.8,3.23,3.17,0.052,0,0,0,0,0,0
Isaiah Canaan,2016,CHI,39,19,20,15.2,4.6,22.9,12.3,1.2,3.09,2.81,0.203,0.1,0,0.4,0,0,0.143
Iman Shumpert,2016,CLE,76,48,28,25.5,7.5,27.4,16.8,1.3,2.88,2.29,0.273,0.3,0.1,0.7,0.174,0,0.164
Ian Mahinmi,2016,WAS,31,19,12,17.9,5.6,25.3,13,0.6,1.49,0.4,0.22,2.4,1.3,4.3,0.425,0.659,0.888
Ian Clark,2016,GSW,77,63,14,14.8,6.8,25.6,16,1.3,2.95,2.48,0.267,0.5,0,1.1,0.722,0,0.964
Hollis Thompson,2016,NOP,40,12,28,18.8,5.1,18.8,13.1,0.5,1.56,0.87,0.273,0.3,0.1,0.7,0.462,0.667,0.926
Henry Ellenson,2016,DET,19,8,11,7.7,3.2,16.2,9.3,0.4,1.46,0.45,0.195,0.4,0.3,0.5,0,0,0.8
Hassan Whiteside,2016,MIA,77,39,38,32.6,17,37.4,24.2,1.1,1.79,0.54,0.455,3.4,6.4,11.4,0.509,0.578,0.977
Harrison Barnes,2016,DAL,78,31,47,35.5,19.2,52.3,35.4,2.2,2.49,1.32,0.366,1.7,5.7,2.2,0.618,0.578,0.965
Greivis Vasquez,2016,BKN,3,1,2,12.9,2.3,33.7,13,2.3,4.13,3.53,0.069,0,0,0,0,0,0
Greg Monroe,2016,MIL,81,42,39,22.5,11.7,32,24.2,1.2,2.18,0.61,0.367,6.5,5.4,7.1,0.269,0.553,0.848
